ساعة,النقرات,عدد مرات الظهور,متوسط تكلفة النقرة,التكلفة
12 ص - 1 ص,2,86,‏0.02 US$,‏0.04 US$
1 ص - 2 ص,1,24,‏0.02 US$,‏0.02 US$
2 ص - 3 ص,0,5,‏0.00 US$,‏0.01 US$
3 ص - 4 ص,0,3,‏0.00 US$,‏0.00 US$
4 ص - 5 ص,1,4,‏0.01 US$,‏0.01 US$
5 ص - 6 ص,0,2,‏0.00 US$,‏0.00 US$
6 ص - 7 ص,0,3,‏0.00 US$,‏0.00 US$
7 ص - 8 ص,0,1,‏0.00 US$,‏0.00 US$
8 ص - 9 ص,0,1,‏0.00 US$,‏0.00 US$
9 ص - 10 ص,0,5,‏0.00 US$,‏0.00 US$
10 ص - 11 ص,3,8,‏0.00 US$,‏0.01 US$
11 ص - 12 م,2,24,‏0.02 US$,‏0.03 US$
12 م - 1 م,38,521,‏0.02 US$,‏0.77 US$
1 م - 2 م,56,750,‏0.02 US$,‏0.99 US$
2 م - 3 م,40,618,‏0.02 US$,‏0.81 US$
3 م - 4 م,40,522,‏0.02 US$,‏0.70 US$
4 م - 5 م,45,554,‏0.02 US$,‏0.80 US$
5 م - 6 م,52,654,‏0.02 US$,‏0.99 US$
6 م - 7 م,40,519,‏0.02 US$,‏0.63 US$
7 م - 8 م,27,536,‏0.02 US$,‏0.63 US$
8 م - 9 م,65,657,‏0.01 US$,‏0.84 US$
9 م - 10 م,9,215,‏0.03 US$,‏0.25 US$
10 م - 11 م,0,0,‏0.00 US$,‏0.00 US$
11 م - 12 ص,0,0,‏0.00 US$,‏0.00 US$
